ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,mTurkCode,consent,gender,age,educat,andr_os,andr_ver,andr_root,mobile_len,fact_1,fact_2,fact_3,fact_4,fact_5,fact_6,fact_7,fact_8,fact_10,fact_9,fact_9_TEXT,fact_det1,fact_det2,fact_det3,fact_det4,fact_det5,fact_det6,fact_det7,fact_det8,fact_det9,behav_1,behav_2,behav_3,behav_4,behav_5,behav_7,behav_8,behav_9,behav_10,behav_11,behav_12,behav_13,behav_14,root_sec,popular,flash_q,flash_l_1,flash_l_2,flash_l_3,flash_l_4,flash_l_5,flash_u_1,flash_u_2,flash_u_3,flash_u_4,cab_q,cab_l_1,cab_l_2,cab_l_3,cab_l_4,cab_l_5,cab_u_1,cab_u_2,cab_u_3,cab_u_4,play_q,play_l_1,play_l_2,play_l_3,play_l_4,play_u_1,play_u_2,play_u_3,play_u_4,play_u_5,play_u_6,comm_q,comm_l_1,comm_l_2,comm_l_3,comm_l_4,comm_l_5,comm_l_6,com_u_1,com_u_2,com_u_3,com_u_4,com_u_5,soc_q,soc_l_1,soc_l_2,soc_l_3,soc_l_4,soc_l_5,soc_u_1,soc_u_2,soc_u_3,soc_u_4,soc_u_5,muipc_1,muipc_2,muipc_3,muipc_4,muipc_5,muipc_6,muipc_7,muipc_8,muipc_9,noq,ret,p_model1,p_model2,comments
R_12s7lawEpGnwJT3,Default Response Set,,2015-11-18 21:21:01,2015-11-18 21:26:25,,,,,1,0,41.0,4.555555555555555,0.5270462766947299,86546,1,1,3,5,1,11,2,2,,,,,1,,1,1,,,,2,2,2,2,3,2,3,2,3,1,1,1,,1,1,,,,,,,,,2,4,2,,,3,2,,,,,4,6,5,4,,,,,,,3,,5,5,5,,,,,,,3,5,,5,,,5,,,,,,4,,5,6,6,,,,,,,5,4,5,4,5,4,5,4,5,1,6,1,2,Nothing.
R_3GBXXnnBBKLV0vF,Default Response Set,,2015-11-18 21:20:07,2015-11-18 21:26:35,,,,,1,0,49.0,5.444444444444445,1.740051084818425,33796,1,2,3,2,1,10,2,4,,,,,1,1,,1,,,,5,4,4,4,2,4,3,4,4,1,,1,,,,1,,1,1,1,,,,2,3,,,3,3,3,,,,,1,,,,,,4,4,,5,1,,,,,,,5,5,,5,2,,,,,,,4,,,4,5,2,,,,,,5,4,5,,,6,6,6,6,6,6,5,7,7,,6,3,1,
R_2xWtb4uvA76AbWm,Default Response Set,,2015-11-18 21:16:16,2015-11-18 21:26:41,,,,,1,0,49.0,5.444444444444445,1.0137937550497031,54092,1,1,5,5,1,9,3,4,1,,1,,,,,,1,,,2,1,3,4,4,2,3,2,3,,1,,1,1,,,,,,,,,,3,3,3,2,3,,,,,,,3,5,6,,,6,,,,,4,6,,5,6,,,,,,,1,,,,,,,4,,4,4,,3,7,,,6,5,,,,,,3,5,6,5,6,6,6,6,6,,6,2,2,"Privacy is my priority. If an app requests for permission which my invade my privacy, I will never install it."
R_3ewf6oIpI8YbaUP,Default Response Set,,2015-11-18 21:19:05,2015-11-18 21:26:56,,,,,1,0,52.0,5.777777777777778,1.922093765778466,22813,1,1,4,5,1,10,1,3,,,1,,1,,,1,,,,2,2,1,2,2,1,4,2,4,1,1,,,,1,,,1,,,,,2,3,1,,,,,,4,,6,5,1,,,,,,,4,4,4,1,,,,,,6,,6,,6,1,,,,,,,,6,,6,5,1,,,,,,,5,5,4,,5,7,7,7,6,6,7,6,7,,6,3,2,no
R_1hNfpowYJ7l50Jj,Default Response Set,,2015-11-18 21:19:22,2015-11-18 21:27:00,,,,,1,0,47.0,5.222222222222222,0.97182531580755,12435,1,2,4,3,1,10,2,4,,1,,,,1,,1,,,,5,4,2,3,2,3,3,3,3,,,1,,1,,1,1,,1,,,,,2,3,3,,3,,2,,,,,4,6,,5,,6,,,,,2,,,,,5,5,4,,,,3,,,6,,5,6,,,,,,3,,7,6,,6,,,,,,7,6,6,4,4,5,5,5,5,,6,3,2,"No, thank you"
R_27jaZJeolkHiOu0,Default Response Set,,2015-11-18 21:15:57,2015-11-18 21:27:00,,,,,1,0,47.0,5.222222222222222,2.1081851067789197,70695,1,2,5,5,1,12,3,3,,,1,1,1,,,,,,,2,4,2,3,3,2,3,2,3,1,,1,,1,1,,1,1,,,,,,3,3,3,,,3,3,,,,,1,,,,,,,4,4,4,1,,,,,4,,4,,5,,3,5,6,,,,6,,,,,,2,,,,,,,4,,4,4,7,6,7,4,3,6,7,6,7,,6,5,2,
R_1o6mWfrbxTw3E80,Default Response Set,,2015-11-18 21:17:22,2015-11-18 21:27:15,,,,,1,0,54.0,6.0,0.0,75756,1,1,5,2,1,12,3,4,,,,,,,,,1,1,perceived usefulness,4,2,3,4,2,3,3,3,3,,,1,1,,,,,,,,,,,2,2,,,,,,,4,6,5,5,,,,,,,5,4,4,1,,,,,,,5,6,5,,2,,,,,,,4,,,5,5,5,,,,,,5,5,,5,,6,6,6,6,6,6,6,6,6,,6,2,1,nothing comes to mind
R_1DT5U8LQ0wtLVLR,Default Response Set,,2015-11-18 21:18:06,2015-11-18 21:27:20,,,,,1,0,39.0,4.333333333333333,1.4142135623730951,73009,1,1,4,5,1,10,2,4,,1,,,1,,,,1,,,5,3,1,4,3,2,3,1,3,,,1,,,,1,,1,,,,,,3,4,2,1,3,,,,,,,2,,,,,,4,4,,4,1,,,,,4,5,,5,,,3,,,6,6,,6,,,,,,3,7,5,,6,,,,,,,5,3,3,2,4,5,6,5,6,,6,3,2,
R_cZ3KmqmV6I4zx0B,Default Response Set,,2015-11-18 21:19:25,2015-11-18 21:27:26,,,,,1,0,33.0,3.6666666666666665,1.0,23646,1,1,4,3,1,7,2,4,,1,,1,1,,,,,,,5,3,1,2,2,1,2,1,3,1,,1,1,,,,,,,,,,,3,4,1,,,3,2,,,,,2,,,,,,4,4,4,,2,,,,,4,,4,,6,,3,,,6,,4,5,,,,,,3,,7,6,5,,,,,,,5,5,5,3,3,3,3,3,3,,6,5,3,
R_1n0aif9aV5torKf,Default Response Set,,2015-11-18 21:19:06,2015-11-18 21:27:32,,,,,1,0,55.0,6.111111111111111,0.7817359599705717,81629,1,2,4,6,1,10,1,4,,1,,1,,,,1,,,,1,3,1,4,2,1,3,3,5,1,1,,,1,1,,,,,,,,5,2,4,3,,,3,3,,,,,1,,,,,,,6,6,6,2,,,,,5,,,4,4,,4,5,4,,,5,,,,,,,1,,,,,,6,6,,,6,7,6,7,7,6,5,6,6,5,,6,4,2,interesting and usable apps only i install
R_3lPMzYgRjrTRix6,Default Response Set,,2015-11-18 21:17:48,2015-11-18 21:27:33,,,,,1,0,40.0,4.444444444444445,1.2360330811826103,86614,1,1,4,5,1,10,2,4,1,1,,,,1,,,,,,3,4,2,4,2,2,2,2,4,,,1,1,,1,1,1,1,,,,,,2,2,,,,,,4,,6,4,2,,,,,,5,,4,5,4,6,5,,6,,,,,,,5,,,,,,,4,4,5,,,3,7,,5,,5,,,,,,6,5,5,3,3,3,6,5,4,,6,5,1,
R_1FmhZB73m5pOcxc,Default Response Set,,2015-11-18 21:20:30,2015-11-18 21:27:34,,,,,1,0,49.0,5.444444444444445,0.5270462766947299,84275,1,2,6,3,1,12,2,4,,,,1,,,,,1,,,4,4,4,4,2,4,3,4,4,,,1,1,,1,,,,,,,,,2,1,,,,,,5,5,5,,1,,,,,,5,,5,5,2,,,,,5,,5,,5,,1,,,,,,,5,5,5,,,1,,,,,,,5,5,,5,5,5,5,6,5,5,6,6,6,,6,2,2,
R_r1KRgaAEgFg36qB,Default Response Set,,2015-11-18 21:18:29,2015-11-18 21:27:34,,,,,1,0,49.0,5.444444444444445,0.5270462766947299,58871,1,1,5,5,1,10,2,3,1,,,1,1,,,,,,,4,2,2,3,2,2,2,3,4,1,,,,1,1,1,1,1,,,,,,3,2,,,,,,4,5,6,,1,,,,,,5,,5,4,1,,,,,5,5,,,,5,3,6,4,,,4,,,,,,,2,,,,,,5,,,6,5,5,6,5,5,5,6,5,6,6,,6,2,2,
R_Y6chGvcmQIlUr7z,Default Response Set,,2015-11-18 21:22:46,2015-11-18 21:27:46,,,,,1,0,47.0,5.222222222222222,0.6666666666666666,89932,1,1,3,4,1,10,2,4,,,,1,1,,,1,,,,4,2,2,2,2,2,3,4,4,1,,1,,,1,,,,,,,,,3,1,,,,,,5,,5,4,2,,,,,,5,,4,5,3,,5,5,5,,,,,,,1,,,,,,,5,,,5,5,1,,,,,,,5,5,,5,7,5,5,5,5,5,5,5,5,,6,5,5,
R_2i9uJlJOqcdOFCV,Default Response Set,,2015-11-18 21:21:52,2015-11-18 21:27:56,,,,,1,0,39.0,4.333333333333333,1.0,52495,1,1,4,5,1,10,2,4,,,,,,,1,1,1,,,4,3,3,2,2,4,2,3,2,,,,,,,1,,,1,,,1,,2,1,,,,,,5,5,,5,1,,,,,,4,4,4,,2,,,,,,5,5,5,,,2,,,,,,,4,4,,,4,1,,,,,,,,6,6,5,4,3,5,4,4,5,6,5,3,,6,2,4,
R_2Et5CsyEHOGFCbc,Default Response Set,,2015-11-18 21:18:08,2015-11-18 21:28:19,,,,,1,0,43.0,4.777777777777778,2.1666666666666665,57529,1,2,5,5,1,11,3,4,,,1,1,,,,1,,,,2,4,2,2,2,1,2,2,3,1,1,,,,,1,,1,,,,1,,2,2,,,,,,5,5,,4,3,,,5,6,6,,,,,2,,,,,4,5,4,,,,5,,,,,,,4,4,,4,,3,7,,,6,5,,,,,,6,7,5,4,3,3,7,7,7,1,6,2,1,"My biggest motivation for installing apps tends to be functionality. I am less concerned with whether or not my friends are using an app, though I have downloaded apps strictly based on recommendations. It's hit or miss as far as that goes. I definitely shy away from apps that request a lot of access to my phone. I worry as much about battery and data usage as I do about privacy though, which is to say I worry somewhat about all of those things."
R_1IzoUT2pQhwP0vT,Default Response Set,,2015-11-18 21:21:51,2015-11-18 21:28:21,,,,,1,0,49.0,5.444444444444445,1.8104634152000358,44324,1,2,4,3,1,10,3,4,,,,1,,1,,1,,,,2,3,4,4,2,2,3,4,4,1,1,,,1,1,,,,,1,,,,2,2,,,,,,4,5,4,,2,,,,,,5,4,5,,1,,,,,,6,,,6,6,2,,,,,,,4,,,4,4,1,,,,,,,5,4,,5,6,6,6,5,6,5,7,7,7,,6,2,1,
R_56K0IWLE0uwtYBj,Default Response Set,,2015-11-18 21:20:59,2015-11-18 21:28:23,,,,,1,0,41.0,4.555555555555555,1.2360330811826103,87685,1,1,3,5,1,11,3,1,1,,1,,,,,,1,,,3,2,3,4,2,2,3,2,3,,1,1,,,,,,,,,,,,3,2,,,,,,,4,4,4,2,,,,,,4,4,4,,1,,,,,,,5,,5,5,4,,5,5,,,6,,,,,,4,7,,5,5,,,,,,,6,3,5,5,5,3,3,6,5,1,6,3,3,"I tend to rely on other's opinions about apps, and not necessarily the specific permissions that are being requested by each app."
R_1IMo7PSX8GyVy8L,Default Response Set,,2015-11-18 21:17:12,2015-11-18 21:28:25,,,,,1,0,52.0,5.777777777777778,2.223610677354389,69984,1,2,3,5,1,8,3,2,,,,,,1,1,1,,,,5,2,2,4,2,4,3,2,3,,,,,,,1,1,1,,1,,,,5,1,,,,,,4,5,5,,1,,,,,,5,5,5,,1,,,,,5,,4,,5,,1,,,,,,,,5,,5,5,1,,,,,,5,,,5,5,3,7,7,7,6,7,7,7,7,,6,2,2,
R_SBREpqeOyhJeZDH,Default Response Set,,2015-11-18 21:21:56,2015-11-18 21:28:33,,,,,1,0,41.0,4.555555555555555,0.8819171036881969,32013,1,1,4,2,1,11,2,4,,,,1,1,1,,,,,,5,2,3,4,2,2,3,3,3,1,1,1,1,1,1,,,,,,,,,2,2,,,,,,,5,4,4,2,,,,,,5,5,,5,1,,,,,5,,5,,,5,5,,,,,,,,4,4,,5,2,,,,,,5,,,4,5,5,5,3,3,5,5,5,5,5,1,6,2,1,
R_1HoFv8mxYngTnA9,Default Response Set,,2015-11-18 21:21:33,2015-11-18 21:28:44,,,,,1,0,56.0,6.222222222222222,0.8333333333333334,73879,1,2,5,4,1,10,3,4,,,1,,,,1,,1,,,4,2,1,2,2,1,3,2,3,,,1,,,,1,1,1,1,,,,,2,4,3,,3,,3,,,,,4,6,6,6,,,,,,,4,4,4,5,,,,,,,,2,,,,,,,,,4,4,4,3,,,5,7,5,,,,,,7,6,7,7,7,6,6,5,5,,6,2,1,Device storage is my main issue when installing apps.
R_3EgQxiCNeYejiUr,Default Response Set,,2015-11-18 21:19:54,2015-11-18 21:28:47,,,,,1,0,42.0,4.666666666666667,0.8660254037844386,16912,1,2,3,3,1,7,1,4,,1,,,,,1,,1,,,4,2,1,2,2,2,2,2,3,,1,,1,1,1,,1,,,,,,6,3,1,,,,,,4,5,,4,1,,,,,,5,,5,4,2,,,,,5,,,,5,5,5,,,,,,,4,5,4,,,2,,,,,,5,4,,5,,5,6,5,5,5,5,4,4,3,,6,5,2,"No, but this made me really curious as to what data the current apps I use are actually collecting."
R_ZmKqDLg6TfDH4yd,Default Response Set,,2015-11-18 21:20:24,2015-11-18 21:29:02,,,,,1,0,47.0,5.222222222222222,0.8333333333333334,79770,1,1,4,5,1,9,2,3,1,,,1,1,,,,,,,2,3,2,2,2,1,2,2,4,,,,,,,1,1,1,1,,,,,3,2,,,,,,4,5,6,,2,,,,,,5,,5,5,1,,,,,,4,,,6,5,5,,,,,,,4,,4,4,,3,7,7,,7,,,,,,,6,5,5,4,4,5,6,6,6,,6,3,2,
R_1mrOw6xYpajPtj4,Default Response Set,,2015-11-18 21:22:20,2015-11-18 21:29:11,,,,,1,0,53.0,5.888888888888889,1.2692955176439846,24897,1,1,3,5,1,9,3,4,,,,1,1,,1,,,,,2,3,2,3,2,2,2,3,4,1,,1,1,1,,,1,,,1,,,,2,2,,,,,,4,5,6,,1,,,,,,5,,4,5,1,,,,,5,6,,6,,,2,,,,,,,5,4,5,,,2,,,,,,5,4,,6,,4,7,6,5,4,7,7,7,6,,6,3,1,
R_1OAGdvcF3jptZJn,Default Response Set,,2015-11-18 21:22:30,2015-11-18 21:29:20,,,,,1,0,56.0,6.222222222222222,1.986062547968831,11735,1,2,4,5,1,10,2,4,,1,,,1,,,,,1,price,2,2,1,2,2,3,3,1,3,,,,,,,,,,1,,,,,2,3,,3,,3,3,,,,,2,,,,,,5,4,4,,2,,,,,6,,,6,,5,3,,,6,,4,5,,,,,,3,,5,5,,5,,,,,,6,7,7,7,7,7,7,7,7,,6,2,2,no
R_1CfQ2rmDZlDwbU5,Default Response Set,,2015-11-18 21:20:48,2015-11-18 21:29:35,,,,,1,0,18.0,2.0,0.0,92290,1,2,4,5,1,10,3,1,,,1,1,,,,,1,,,4,4,2,3,4,2,3,2,3,,,,,,,1,,,,,,,,3,2,,,,,,4,4,,4,3,,6,6,,6,,,,,1,,,,,,5,5,,,5,4,4,,6,,4,,,,,,,3,7,,,6,6,,,,,,2,2,2,2,2,2,2,2,2,,6,5,2,
R_11XbVah089CSUun,Default Response Set,,2015-11-18 21:24:04,2015-11-18 21:30:03,,,,,1,0,42.0,4.666666666666667,0.7071067811865476,56562,1,2,4,2,1,7,3,4,,,,1,1,1,,,,,,1,2,1,4,1,2,3,3,2,,,,1,1,1,,,,1,,,,,1,4,2,3,,3,,,,,,4,5,,,5,6,,,,,3,,6,5,5,,,,,,,2,,,,,,,5,,,5,5,3,6,6,,,6,,,,,,5,5,5,5,6,4,4,4,4,,6,3,2,
R_1jcu3P5e5turSDQ,Default Response Set,,2015-11-18 21:21:13,2015-11-18 21:30:07,,,,,1,0,51.0,5.666666666666667,1.8708286933869707,30081,1,1,3,5,1,9,3,2,1,1,,,,,1,,,,,2,2,4,4,2,2,2,4,3,,1,1,,,,1,1,,,,,,,3,1,,,,,,5,5,,4,3,6,,5,6,,,,,,4,6,5,,6,,,,,,,2,,,,,,,4,,,4,4,1,,,,,,5,,,4,5,6,7,7,6,5,6,7,6,7,,6,1,2,Good luck! Sounds like you have a decent idea for an app if those last few questions were geared toward a potential product.
R_3Jr5fOr4wUqix9q,Default Response Set,,2015-11-18 21:18:46,2015-11-18 21:30:14,,,,,1,0,47.0,5.222222222222222,0.97182531580755,85838,1,2,4,6,1,9,1,2,,,,1,,1,1,,,,,1,2,2,4,2,1,3,2,4,,,,1,1,1,,,1,,,,,4,2,2,,,,,,4,,6,4,2,,,,,,4,4,,6,1,,,,,6,6,,6,,,3,,,6,5,,6,,,,,,3,,,5,7,5,,,,,,5,6,3,5,5,5,6,6,6,,6,3,3,
R_12ciSmo9xibNYNj,Default Response Set,,2015-11-18 21:25:44,2015-11-18 21:30:21,,,,,1,0,51.0,5.666666666666667,0.5,44933,1,1,4,5,1,11,2,4,,1,,,,,,1,1,,,1,2,2,1,1,2,3,1,3,,1,1,,,,,,,,,,,,3,3,2,,3,,2,,,,,4,,5,,6,5,,,,,2,,,,,4,,4,5,,,3,,5,6,,4,,,,,,,4,7,7,,6,,,,,,,6,5,6,6,5,5,6,6,6,1,6,2,1,
R_2TS3miLYh6RyHxf,Default Response Set,,2015-11-18 21:20:03,2015-11-18 21:30:48,,,,,1,0,29.0,3.2222222222222223,1.986062547968831,43047,1,1,4,5,1,9,3,4,,1,,1,,,,,1,,,1,1,2,4,2,1,3,1,2,,,,,,,1,,1,1,1,,1,,2,3,3,,2,,3,,,,,1,,,,,,,6,6,5,4,5,5,4,,,,,,,,2,,,,,,,,5,6,6,,4,6,7,,7,,,,,,,2,5,1,6,4,1,1,4,5,,6,2,1,
R_3fuWhwVbs1C2x3M,Default Response Set,,2015-11-18 21:21:50,2015-11-18 21:31:08,,,,,1,0,54.0,6.0,0.5,97397,1,2,4,6,1,12,2,4,,,,1,1,,1,,,,,5,2,3,4,2,2,2,2,3,,,,1,,,1,,,1,,,,,2,2,,,,,,4,5,,4,3,,6,,6,6,,,,,2,,,,,,5,,5,,5,3,,,6,6,5,,,,,,,3,,,6,6,6,,,,,,5,6,6,6,7,6,6,6,6,,6,2,2,no
R_2P7FVCAAOoT7xzK,Default Response Set,,2015-11-18 21:24:37,2015-11-18 21:31:10,,,,,1,0,25.0,2.7777777777777777,1.3944333775567925,55685,1,1,5,3,1,9,2,4,,,,1,1,,,1,,,,3,2,2,2,4,1,3,2,3,1,1,1,,,,1,,,,,,,,3,3,3,1,,3,,,,,,2,,,,,,4,4,4,,1,,,,,,5,,,4,5,2,,,,,,,4,,,4,5,1,,,,,,5,,,5,5,6,2,2,2,4,3,2,2,2,,6,1,1,sounds like a great feature - 'line item veto' so to speak
R_1EX1OOnycCptKP3,Default Response Set,,2015-11-18 21:23:27,2015-11-18 21:31:18,,,,,1,0,56.0,6.222222222222222,0.6666666666666666,83453,1,1,5,2,1,9,2,3,,1,1,,1,,,,,,,4,3,2,3,2,2,3,2,4,1,,,,,,,,,1,,,1,,2,3,3,3,,3,,,,,,1,,,,,,5,4,,4,1,,,,,5,,4,5,,,3,5,,,,4,5,,,,,,2,,,,,,5,,4,,4,6,7,7,7,6,5,6,6,6,,6,2,1,
R_2Ugvr2VZDU8kOH6,Default Response Set,,2015-11-18 21:23:52,2015-11-18 21:31:29,,,,,1,0,52.0,5.777777777777778,0.44095855184409843,19532,1,1,3,3,1,10,2,3,,,,1,1,,,,1,,,4,2,2,2,2,2,3,3,4,,1,1,,,,,1,,,,,,,2,2,,,,,,4,,6,4,1,,,,,,5,5,5,,2,,,,,5,,,5,,5,2,,,,,,,5,5,,,5,2,,,,,,5,,,5,5,6,6,6,6,6,5,6,6,5,,6,5,5,Thanks for letting me help
R_26nd4RQjscpbxBp,Default Response Set,,2015-11-18 21:21:31,2015-11-18 21:31:47,,,,,1,0,45.0,5.0,1.6583123951777,96689,1,1,5,2,1,10,2,4,,1,,1,1,,,,,,,4,2,2,4,2,2,3,2,3,,,,,,,,,,1,,,,,3,2,,,,,,5,5,,5,3,,5,,6,5,,,,,1,,,,,,,4,,6,5,1,,,,,,,4,,4,4,,3,,7,6,,5,,,,,,6,6,6,5,5,4,6,6,7,,6,2,2,Have a nice day :)
R_3Pcxuk023Gxzrl3,Default Response Set,,2015-11-18 21:20:40,2015-11-18 21:31:58,,,,,1,0,46.0,5.111111111111111,0.927960727138337,67306,1,1,4,3,1,10,1,4,,1,,,,,1,,1,,,4,1,1,4,2,1,3,2,3,1,1,1,,,,,,,,,,,6,3,2,,,,,,,6,6,6,3,6,,4,,6,,,,,2,,,,,4,,4,,5,,3,5,,,6,,5,,,,,,3,6,,6,7,,,,,,,5,3,6,5,5,6,6,5,5,,6,2,2,I think I will start to look at permissions more after this
R_1LUPEwMuBbKA5O3,Default Response Set,,2015-11-18 21:23:01,2015-11-18 21:32:09,,,,,1,0,54.0,6.0,0.0,76320,1,1,5,3,1,9,1,4,1,,1,,,1,,,,,,4,4,4,5,1,4,3,4,4,,,1,1,,1,,1,,1,1,,,2,2,1,,,,,,5,,5,5,1,,,,,,5,,5,5,1,,,,,,5,,5,5,,4,5,5,,,,5,,,,,,1,,,,,,5,5,,5,,6,6,6,6,6,6,6,6,6,,6,2,1,"Currently use Cyanogenmod, this ROM has allowed 'permission blocking' for a long time, I only allow certain apps the permissions I'm both willing to give and need for the app to function."
R_3dVXKYIDePoGEMm,Default Response Set,,2015-11-18 21:25:30,2015-11-18 21:32:10,,,,,1,0,56.0,6.222222222222222,0.6666666666666666,26070,1,1,5,3,1,12,3,4,,,,,1,,1,1,,,,2,3,2,4,4,2,3,2,3,,,1,1,,1,,,,,1,,,,2,3,3,,3,3,,,,,,4,,,6,6,6,,,,,2,,,,,5,4,,,,4,3,4,,6,,4,,,,,,,4,7,5,,,5,,,,,,7,6,7,5,6,7,6,6,6,,6,2,1,
R_1IWN3Dr8h1pHW7b,Default Response Set,,2015-11-18 21:23:45,2015-11-18 21:32:19,,,,,1,0,47.0,5.222222222222222,0.6666666666666666,57285,1,2,5,4,1,11,3,4,,,,1,1,,1,,,,,2,2,1,2,3,1,4,2,3,1,,,,1,,1,1,,,1,,1,,2,3,,3,3,,3,,,,,2,,,,,,,4,4,4,3,6,4,,6,,,,,,,3,4,,,6,,6,,,,,,3,6,6,,7,,,,,,,6,5,5,5,5,4,5,6,6,1,6,1,2,Thank you I enjoyed taking this survey.
R_BFbwnPTNJPEuqFb,Default Response Set,,2015-11-18 21:26:18,2015-11-18 21:32:24,,,,,1,0,60.0,6.666666666666667,0.5,21899,1,1,4,3,1,10,2,4,,,,,1,1,1,,,,,2,2,2,4,1,3,3,3,5,,,,,1,,,1,1,,,,,,2,3,3,3,2,,,,,,,2,,,,,,,4,4,4,1,,,,,5,6,5,,,,3,6,,,,5,6,,,,,,2,,,,,,5,,4,,4,6,7,7,7,7,7,6,7,6,,6,2,4,none
R_1IsECiSA7pgqhIw,Default Response Set,,2015-11-18 21:17:05,2015-11-18 21:32:25,,,,,1,0,54.0,6.0,0.0,95117,1,2,5,6,1,10,2,1,,,,1,,1,,1,,,,5,5,4,5,3,3,3,3,3,,1,,,1,,,,,1,,,,,3,1,,,,,,,5,6,5,1,,,,,,,5,4,5,2,,,,,,,5,,5,5,1,,,,,,,,4,4,5,,3,7,6,,6,,,,,,,6,6,6,6,6,6,6,6,6,,6,1,1,
R_0I0LuTpfS00E3PH,Default Response Set,,2015-11-18 21:24:09,2015-11-18 21:32:30,,,,,1,0,55.0,6.111111111111111,2.0275875100994063,80680,1,2,4,2,1,9,1,2,,1,,,1,,,,1,,,5,4,3,2,2,2,2,3,3,1,1,,,,,,1,1,,1,,,3,3,1,,,,,,4,5,,4,2,,,,,,5,4,,4,1,,,,,,6,,,6,6,2,,,,,,,5,5,,5,,2,,,,,,,5,5,,5,5,7,7,7,7,7,7,7,7,,6,2,1,no
R_2PbRvGlfUyVSItD,Default Response Set,,2015-11-18 21:23:59,2015-11-18 21:32:31,,,,,1,0,31.0,3.4444444444444446,1.509230856356236,12488,1,2,4,3,1,9,2,4,,1,,,1,1,,,,,,5,4,2,4,2,4,3,2,3,,,,,,,,,,1,,,,,3,2,,,,,,5,,5,5,2,,,,,,5,4,,5,1,,,,,5,,5,,5,,1,,,,,,,4,5,4,,,2,,,,,,,5,4,5,,2,5,3,2,2,2,5,5,5,,6,2,1,
R_RJfEpJmxlqez105,Default Response Set,,2015-11-18 21:25:59,2015-11-18 21:32:35,,,,,1,0,53.0,5.888888888888889,0.7817359599705717,39067,1,2,4,3,1,10,1,4,,,,1,1,,,,,,,4,3,2,3,2,2,3,3,3,1,,1,,1,,,,1,1,,,1,2,3,2,,,,,,4,5,4,,3,6,5,,6,,,,,,2,,,,,,,5,6,6,,2,,,,,,,4,,,5,4,2,,,,,,,4,4,4,,7,6,6,6,6,4,6,6,6,,6,3,2,
R_1gcoSwNDFuCwP0Q,Default Response Set,,2015-11-18 21:19:20,2015-11-18 21:32:38,,,,,1,0,45.0,5.0,0.5,73741,1,2,4,2,1,9,3,4,,1,,,1,1,,,,,,4,3,2,3,2,2,3,2,3,,1,1,,,,,,,1,,,,,2,3,3,1,,3,,,,,,5,,,,,,5,5,,5,2,,,,,,,,5,5,5,3,6,6,,5,,,,,,,,3,6,5,,,5,,,,,,5,5,5,4,5,5,5,5,6,,6,2,1,
R_2roNIlgfwyzeN53,Default Response Set,,2015-11-18 21:15:18,2015-11-18 21:32:40,,,,,1,0,52.0,5.777777777777778,1.922093765778466,71129,1,1,5,5,1,8,2,1,,,,,,,1,1,,1,Mostly whether I need it or not.,2,2,2,2,2,1,2,4,4,,,,,,,,,,,,,1,,3,2,,,,,,,5,6,5,1,,,,,,,6,5,5,1,,,,,,5,6,,6,,1,,,,,,,4,5,5,,,1,,,,,,,5,4,,5,6,7,7,5,6,6,7,7,7,,6,2,1,Thanks!
R_2dgx1CQT5YqsSeQ,Default Response Set,,2015-11-18 21:24:14,2015-11-18 21:32:41,,,,,1,0,46.0,5.111111111111111,1.6914819275153699,40316,1,1,4,2,1,9,2,4,,1,,,,1,,,1,,,2,5,4,2,1,2,3,2,2,1,,,1,1,,1,1,1,,,,,,2,3,,3,,3,3,,,,,2,,,,,,4,,4,4,1,,,,,,,4,5,4,,2,,,,,,,4,,4,5,,2,,,,,,5,,4,,5,6,7,7,6,5,5,3,2,5,,6,2,1,
R_d6bmf1V4DgPIC0F,Default Response Set,,2015-11-18 21:23:55,2015-11-18 21:32:44,,,,,1,0,47.0,5.222222222222222,2.048034287907418,72011,1,1,3,3,1,10,2,4,,1,,,,,1,,1,,,2,2,2,2,2,2,2,3,3,,,1,,,,1,,1,1,,,,,2,2,,,,,,4,4,5,,4,,6,,6,6,,,,,1,,,,,6,6,,,,6,3,,,6,,4,6,,,,,,3,6,,5,,5,,,,,,7,6,6,5,5,3,7,7,7,,6,1,1,
R_3qInJVFkJzN8BoP,Default Response Set,,2015-11-18 21:26:11,2015-11-18 21:32:45,,,,,1,0,51.0,5.666666666666667,0.8660254037844386,25655,1,2,3,3,1,10,2,4,,,,1,1,1,,,,,,2,4,4,5,1,3,4,3,3,1,,1,,,1,1,1,,1,,,,,2,2,,,,,,5,,5,4,4,,6,6,,6,,,,,1,,,,,5,4,5,,,,3,,,4,5,5,,,,,,,4,,6,5,,6,,,,,,7,5,6,6,6,6,6,5,4,,6,1,1,
R_3h9ZCL83Thwgh9c,Default Response Set,,2015-11-18 21:21:36,2015-11-18 21:32:56,,,,,1,0,51.0,5.666666666666667,1.0,71601,1,2,5,5,1,9,3,4,,1,,,1,,,1,,,,5,4,3,4,2,2,2,3,3,,1,,,,,,,,1,,,,,3,1,,,,,,6,5,6,,1,,,,,,5,6,,5,1,,,,,,,,6,6,6,3,6,5,,6,,,,,,,,1,,,,,,5,,4,4,,7,7,5,4,5,5,6,6,6,,6,3,1,
